strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
spatial_thin_250_cap100,158,0.099577042554973,0.1516077382782036,42.743878558120464,24.931532650640385,0.9430379746835444,0.8164556962025317,0.6708860759493671,0.8742813592257844,mask_off,300
hybrid_300_diverse_150,158,0.1042986055417774,0.1600420934962754,41.65325593804182,24.481893416829195,0.9430379746835444,0.8164556962025317,0.6835443037974683,0.8698258261812597,mask_off,300
spatial_thin_300_cap150,158,0.1042986055417774,0.1600420934962754,41.65325593804182,24.481893416829195,0.9430379746835444,0.8164556962025317,0.6835443037974683,0.8698258261812597,mask_off,300
hybrid_300_diverse_100,158,0.1047383373220324,0.1539354063541019,41.8004192900716,24.5593636531046,0.9430379746835444,0.8291139240506329,0.6645569620253164,0.8671897953156857,mask_off,300
spatial_thin_300_cap100,158,0.1070579151754457,0.162356366868817,42.18586983318588,24.374285235027365,0.9430379746835444,0.8164556962025317,0.6708860759493671,0.8681424165258839,mask_off,300
feature_diverse_60,158,0.1082885438214522,0.1400394957729949,25.91655878190626,17.715772196864705,0.8734177215189873,0.6772151898734177,0.3987341772151899,0.8589209461624739,mask_off,300
fscs_60,158,0.1095115201976233,0.1670986042252143,25.08574490364867,14.962410055793956,0.8227848101265823,0.6582278481012658,0.3291139240506329,0.9027099801491926,mask_off,300
random_60,158,0.1097191333088408,0.1519905863728249,23.78867265831942,14.288776173327786,0.8227848101265823,0.6139240506329114,0.3291139240506329,0.907212007513041,mask_off,300
spatial_thin_100_cap60,158,0.1105739502712347,0.1548446435415679,27.72979248243601,18.20578739944077,0.9177215189873418,0.6962025316455697,0.4240506329113924,0.8963105172509322,mask_off,300
spatial_thin_150_cap60,158,0.1138452563647758,0.1619713727496403,29.98160381445203,21.094073175988616,0.9367088607594936,0.7721518987341772,0.5,0.8946100944094666,mask_off,300
spatial_thin_300_cap60,158,0.1220257547981422,0.1821291457423855,41.46404235214365,24.518796957403172,0.9430379746835444,0.8164556962025317,0.6835443037974683,0.8724066786382914,mask_off,300
spatial_thin_250_cap60,158,0.1235020449230821,0.1732530029147257,37.54719018013341,25.175582053140293,0.9430379746835444,0.8164556962025317,0.6708860759493671,0.881014159174769,mask_off,300
