parent_id,parent_label,dor_median_v2,category_v2,dor_knn,dor_median_v3,category_knn,category_median,dor_change,changed
000000000000000004c0,built_loss,0.6610561807849182,recovering,0.5856211047927975,0.6610561807849182,recovering,recovering,-0.07543507599212074,False
000000000000000004c5,built_loss,0.5569497255512478,recovering,0.5919686993676249,0.5569497255512478,recovering,recovering,0.035018973816377086,False
000000000000000004d2,built_loss,0.6099783470288064,recovering,0.8349301893190813,0.6099783470288064,recovering,recovering,0.22495184229027487,False
000000000000000004d9,built_loss,0.5745541215686778,recovering,0.5423125767016832,0.5745541215686778,recovering,recovering,-0.0322415448669946,False
000000000000000004eb,built_loss,0.4595772965726007,degraded,0.5595915158518902,0.4595772965726007,recovering,degraded,0.10001421927928944,True
000000000000000004f5,built_loss,0.4506053578846734,degraded,0.4580158864562584,0.4506053578846734,indistinguishable,degraded,0.007410528571585029,True
000000000000000004f7,built_loss,0.4866655721096831,degraded,0.4375666140784961,0.4866655721096831,indistinguishable,indistinguishable,-0.04909895803118697,True
000000000000000004fe,built_loss,0.4970509721353862,indistinguishable,0.5246792810311285,0.4970509721353862,indistinguishable,indistinguishable,0.027628308895742304,False
0000000000000000051d,built_loss,0.5133369948162075,indistinguishable,0.3205150248075563,0.5133369948162075,degraded,indistinguishable,-0.19282197000865126,True
00000000000000000559,built_loss,0.684723151743099,recovering,0.729564898314503,0.684723151743099,recovering,recovering,0.04484174657140405,False
00000000000000000576,built_loss,0.2852475530433028,degraded,0.2131708447008433,0.2852475530433028,degraded,degraded,-0.0720767083424595,False
00000000000000000577,built_loss,0.4691748755173136,indistinguishable,0.2635118195570611,0.4691748755173136,degraded,indistinguishable,-0.20566305596025253,True
0000000000000000057f,built_loss,0.4210242561873574,degraded,0.4541917564446613,0.4210242561873574,indistinguishable,degraded,0.03316750025730392,True
00000000000000000594,built_loss,0.505840212529389,indistinguishable,0.4600061747026471,0.505840212529389,indistinguishable,indistinguishable,-0.04583403782674195,False
000000000000000005ad,built_loss,0.6656856203494744,recovering,0.610539006883736,0.6656856203494744,recovering,recovering,-0.05514661346573846,False
000000000000000005bd,built_loss,0.5724746907054712,recovering,0.6474056761557107,0.5724746907054712,recovering,recovering,0.07493098545023946,False
000000000000000005bf,built_loss,0.395700269029998,degraded,0.4059644005066963,0.395700269029998,degraded,degraded,0.010264131476698302,False
000000000000000005cc,built_loss,0.3529357357612959,degraded,0.2428737990295724,0.3529357357612959,degraded,degraded,-0.11006193673172349,False
