parent_id,parent_label_v1,applicable_v1,dor_median_v1,dor_median_ci_low_v1,dor_median_ci_high_v1,n_eff_min_v1,parent_label_v2,applicable_v2,dor_median_v2,dor_median_ci_low_v2,dor_median_ci_high_v2,n_eff_min_v2,dor_delta_v2_minus_v1,n_eff_min_delta_v2_minus_v1,category_v1,category_v2,category_changed
00000000000000000228,crop_loss,True,0.5948009483767961,0.4972737382626584,0.6330621520009116,2.497189753612957,crop_loss,True,0.5198097367504713,0.3923582620291253,0.559962289089089,1.5628158566211066,-0.07499121162632483,-0.9343738969918505,indistinguishable,indistinguishable,False
00000000000000000231,built_loss,True,0.5961528870310252,0.5411494282606027,0.6545877081294775,7.79617477945345,built_loss,True,0.5079632442802016,0.4776517167441417,0.5503924414974511,1.7917256743313985,-0.08818964275082364,-6.004449105122052,recovering,indistinguishable,True
0000000000000000024c,built_loss,True,0.6850150709003042,0.6535046012458193,0.7154448795572058,7.153502702129229,built_loss,True,0.7157987079804445,0.6936194397558261,0.739528860688663,1.1779739088278596,0.030783637080140314,-5.975528793301369,recovering,recovering,False
0000000000000000026d,built_loss,True,0.5777923665786945,0.5344114087202412,0.6170707726430945,9.574463427416024,built_loss,True,0.5813015845916578,0.5413054002443909,0.6254546320375214,1.1813151890918223,0.0035092180129633332,-8.393148238324201,recovering,recovering,False
00000000000000000278,built_loss,True,0.7428817113917677,0.7089637039429766,0.8151867831340714,4.15877579536396,built_loss,True,0.7927442142022334,0.7454090590748378,0.8266581794977056,1.320719687780835,0.04986250281046567,-2.838056107583125,recovering,recovering,False
00000000000000000281,crop_loss,True,0.5344663176511659,0.4939247913154322,0.5699404508466647,8.922006531454933,crop_loss,True,0.5176650907595726,0.479148166619442,0.544936580121698,1.2730796876863328,-0.016801226891593357,-7.6489268437686,indistinguishable,indistinguishable,False
0000000000000000028c,crop_loss,True,0.5820707939349579,0.5110963113927304,0.6166748515643758,4.668090896186911,crop_loss,True,0.3104154821610825,0.2777696247044155,0.3442789100445184,1.1651335669978933,-0.27165531177387536,-3.5029573291890177,recovering,degraded,True
0000000000000000028d,crop_loss,True,0.650476973054494,0.616123833480935,0.6852484058864654,5.287778636231733,crop_loss,True,0.6692487482339626,0.6265924292385279,0.6965818369432023,1.8282980223691112,0.018771775179468597,-3.459480613862622,recovering,recovering,False
00000000000000000291,crop_loss,True,0.8814918197912559,0.8593120267633474,0.9014323872371798,2.0524351869670405,crop_loss,True,0.8818759387456236,0.8725558894735891,0.8931471780023827,1.314505567707667,0.00038411895436774035,-0.7379296192593736,recovering,recovering,False
00000000000000000293,built_loss,True,0.418389143460013,0.3902211199482843,0.4726222736309076,4.842694830268839,built_loss,True,0.499497522010921,0.4524483503449713,0.5277346269012865,1.9845632968408289,0.08110837855090802,-2.8581315334280104,degraded,indistinguishable,True
