dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,00000000000000000314,good,100,0.03234863086089623,2.0512002914139975,2.3425744642257103
candidate,00000000000000000316,bad,100,0.26553711928296947,0.035952339530394235,0.25637237196302026
candidate,00000000000000000316,good,100,-0.057243838452179556,2.3748694079490256,2.1797780215217455
candidate,00000000000000000335,bad,100,0.12815442872809818,2.736614813268143,2.2960553208781107
candidate,00000000000000000335,good,100,0.30510637126614476,0.8946210817144487,2.3510635146655527
candidate,0000000000000000033a,bad,100,0.04298839700560287,1.7267441874290848,2.0983216968459124
candidate,0000000000000000033a,good,100,0.21875152717440885,3.1925668969908445,2.662952067245067
candidate,0000000000000000034d,bad,100,-0.004997259588440322,5.3556554312719635,4.491422415128029
candidate,0000000000000000034d,good,100,0.02878158096402776,2.4440237118610906,2.3121004936695986
candidate,00000000000000000356,bad,100,0.48743740114971035,0.24333317887426342,2.518311889873243
candidate,00000000000000000356,good,100,0.30262482222929105,1.3446061089473196,1.7912750010344205
candidate,00000000000000000362,bad,100,0.04844321191616593,2.2268074155458373,2.2067455341167697
candidate,00000000000000000362,good,100,0.16843813356206816,3.464742537295224,2.6111010401278962
candidate,00000000000000000363,bad,100,0.10690356904866494,0.37154851166730923,1.3373054297886875
candidate,00000000000000000363,good,100,0.2817006822303654,1.679097829592962,2.5261643641477236
candidate,00000000000000000364,bad,100,0.00831725816557489,2.9775429016912325,3.070668965841729
candidate,00000000000000000364,good,100,-0.24627286106686364,1.911123417821038,2.2689020412837566
candidate,00000000000000000375,bad,100,0.029364515070104354,1.4792176105791328,2.3465376954581387
candidate,00000000000000000375,good,100,-0.02291331414085051,2.154891430838938,1.9122525184570647
candidate,00000000000000000380,bad,100,0.2990902164047683,3.2101143571339987,2.828873232616583
candidate,00000000000000000380,good,100,0.24230650573572962,1.3561731678890492,2.1873659940518904
candidate,00000000000000000384,bad,100,0.15475744650638754,1.4969353205234253,1.1733305295617467
candidate,00000000000000000384,good,100,0.15186151766809,2.0071779581900455,2.5202171286433153
candidate,0000000000000000039e,bad,100,0.225020862030192,1.879008825650645,2.180053513068259
candidate,0000000000000000039e,good,100,0.06936931737513435,1.7311969769297486,2.3674298014384783
candidate,000000000000000003a1,bad,100,0.41780269258185726,0.9610460703981303,1.8938047368144237
candidate,000000000000000003a1,good,100,0.1755291060441703,2.7825889945739206,2.27892894816034
candidate,000000000000000003a2,bad,100,0.4063048083035624,0.9030979136094089,1.7787102231973004
candidate,000000000000000003a2,good,100,0.0607684196162711,0.21980819590997683,2.4826943043996885
candidate,000000000000000003a5,bad,100,0.2999537599986212,0.3777606735464496,1.116192278292088
