parent_id,lon,lat,country_iso3,vote_dw,vote_wc100,vote_wc200,vote_worldcereal,vote_vida,vote_msbuildings,n_nature,n_crop,n_built,stable_class
00000000000000000570,-40.889200692202934,-14.881356249431375,BRA,built,built,built,unknown,unknown,unknown,0,0,3,built
00000000000000000571,-15.60494921078965,12.026779771084772,GNB,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000572,32.62919165472394,-18.9950114299999,ZWE,nature,built,built,unknown,unknown,unknown,1,0,2,built
00000000000000000579,-97.62625504802145,25.53636366590143,MEX,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000585,29.192956029909944,-26.936208373144883,ZAF,nature,built,built,unknown,unknown,unknown,1,0,2,built
00000000000000000590,-105.71675199138708,22.59860319224536,MEX,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
00000000000000000591,-68.11336402967233,-13.456807871874638,BOL,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000059e,-1.507597625573587,34.30850224685697,DZA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000005b8,141.34824807293109,-35.29368461895085,AUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000005d2,147.76787858783442,-33.93372511032231,AUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000005d9,48.74191357986214,40.011456828089756,AZE,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
000000000000000005e2,-103.4012545150406,25.779447781784175,MEX,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
000000000000000005e6,73.03442498760748,31.185419330087043,PAK,built,built,built,unknown,unknown,unknown,0,0,3,built
000000000000000005ea,100.78293495641744,4.278361287911839,MYS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000005ef,102.57381630683813,53.19818620979385,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000005f1,-115.70610778232458,32.80993268988878,USA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000005f4,-76.07863582243172,-13.52130690927442,PER,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
000000000000000005f8,106.15665698602042,20.02573838699864,VNM,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000005fb,-55.34848350539075,-12.314599988116667,BRA,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000604,-97.22848104021332,50.47790786642312,CAN,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
0000000000000000060a,146.69331384497065,-33.803020236482915,AUS,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
0000000000000000060b,18.79953802417549,-32.54519917565876,ZAF,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000060c,-6.99109378289597,37.30644984454905,ESP,unknown,crop,nature,unknown,unknown,unknown,1,1,0,ambiguous
00000000000000000616,115.79863425658888,34.25550164509392,CHN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000618,20.083230565182287,-7.424261412898403,AGO,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000061d,51.093792825215466,58.155449273679025,RUS,nature,nature,crop,unknown,unknown,unknown,2,1,0,nature
0000000000000000062c,99.4755268919099,3.275931262362865,IDN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000063d,-71.19341764433294,-28.454810360948933,CHL,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000658,73.6425844349564,54.484753359709835,RUS,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
0000000000000000065c,7.329039992781734,36.60261981944141,DZA,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
00000000000000000663,97.30025643141447,24.244945613451208,MMR,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
00000000000000000665,-5.213597330208673,42.37321754156839,ESP,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000672,2.691667001571528,36.456374091186746,DZA,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
0000000000000000067c,104.85571679155852,9.060273208336875,VNM,built,crop,nature,unknown,unknown,unknown,1,1,1,ambiguous
00000000000000000680,39.485223734652536,47.07796417908756,RUS,nature,built,nature,unknown,unknown,unknown,2,0,1,nature
00000000000000000687,37.556450988119515,7.2649002814956,ETH,built,nature,nature,unknown,unknown,unknown,2,0,1,nature
0000000000000000068f,50.774801067824626,61.64315836427306,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000692,76.93553877195333,12.28621322513849,IND,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000693,18.594901802453066,-34.00532083846663,ZAF,built,built,built,unknown,unknown,unknown,0,0,3,built
0000000000000000069c,145.27667064191417,-31.296540930732625,AUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000006a9,119.59293835365293,36.25425315225986,CHN,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
000000000000000006b3,30.23877468368189,37.83061681283279,TUR,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000006ba,55.56363001593738,53.441629651790244,RUS,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000006d1,111.22647895500576,2.333508697793075,MYS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000006d6,-3.6093858958280314,37.13972252781647,ESP,built,nature,crop,unknown,unknown,unknown,1,1,1,ambiguous
000000000000000006d7,-118.87931669194838,59.065712151077335,CAN,nature,nature,built,unknown,unknown,unknown,2,0,1,nature
000000000000000006e1,-52.82601418758314,-23.678917152927497,BRA,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000006e4,10.754855160299941,60.74681937377861,NOR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000004,74.75999881687267,30.279288702995682,IND,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000005,62.605433696621894,57.3908931353649,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000010,118.52888389961335,31.99426241190826,CHN,built,crop,nature,unknown,unknown,unknown,1,1,1,ambiguous
0000000000000000001c,49.84666171627234,58.06615673443754,RUS,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000002a,10.830583138751217,59.73630451067256,NOR,nature,built,built,unknown,unknown,unknown,1,0,2,built
00000000000000000038,-79.78822878820328,-2.324705208008704,ECU,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000039,-48.88519486767921,-26.246032740355854,BRA,nature,built,built,unknown,unknown,unknown,1,0,2,built
0000000000000000003f,16.53946660085919,45.53349071110086,HRV,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000050,43.13903132128028,56.984315637772404,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000055,147.64283310028497,-34.24310489417307,AUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000059,148.3845720303825,-31.885476431001386,AUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000005c,146.99029687790056,-32.79960206412141,AUS,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000007b,-16.056711967173356,11.965784163293057,GNB,nature,built,nature,unknown,unknown,unknown,2,0,1,nature
00000000000000000083,10.541056122679494,33.33338100594523,TUN,nature,built,built,unknown,unknown,unknown,1,0,2,built
0000000000000000008a,72.61661854896349,21.76200216814485,IND,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000008e,134.655439880127,68.39965711072122,RUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000009a,148.29492016502735,-28.499546462098085,AUS,nature,crop,nature,unknown,unknown,unknown,2,1,0,nature
000000000000000000ab,33.5308307053947,14.059038438348365,SDN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000000b4,121.51129064289016,31.133586538193345,CHN,built,crop,crop,unknown,unknown,unknown,0,2,1,crop
000000000000000000ba,-55.48448843940645,-15.567938621083925,BRA,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000000c1,57.823072618554804,38.19452433442961,TKM,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000000cc,118.48154268414025,-30.69170524993495,AUS,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000000cf,51.13843909483621,58.29343050131978,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000000e1,36.1448383506541,36.21346963836083,TUR,nature,built,built,unknown,unknown,unknown,1,0,2,built
000000000000000000ee,35.32925790420198,47.46495840348624,UKR,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000000ef,135.42493675250378,-33.38566295548099,AUS,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
000000000000000000f7,-114.46822932080788,48.572491317277205,USA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
