dataset,parent_id,parent_label,n_bad,n_good,n_eff_300m_bad,n_eff_300m_good,n_eff_min_300m,n_min
stable,00000000000000000224,stable_crop,100,100,51.11531305641892,48.80765062319793,48.80765062319793,100
stable,00000000000000000225,stable_built,100,100,23.852628143542123,31.123615503076667,23.852628143542123,100
stable,00000000000000000226,stable_built,100,100,8.753753783960768,42.776053147732185,8.753753783960768,100
stable,00000000000000000227,stable_built,100,100,11.821809187050931,32.31064097839758,11.821809187050931,100
stable,00000000000000000229,stable_nature,100,100,59.489989773797745,44.33565061852525,44.33565061852525,100
stable,0000000000000000022a,stable_built,100,100,51.87746326579377,54.08364434361587,51.87746326579377,100
stable,0000000000000000022b,stable_crop,100,100,35.7932126695599,52.366714880795364,35.7932126695599,100
stable,0000000000000000022c,stable_crop,100,100,44.61009983983024,56.76919675316738,44.61009983983024,100
stable,0000000000000000022d,stable_built,100,100,3.9879049382304115,63.63318216444219,3.9879049382304115,100
stable,0000000000000000022e,stable_nature,100,100,11.899466462365384,54.38448537847638,11.899466462365384,100
stable,0000000000000000022f,stable_crop,100,100,35.66190843152003,60.77006577308044,35.66190843152003,100
stable,00000000000000000230,stable_nature,100,100,28.660508342467523,62.352008406908176,28.660508342467523,100
stable,00000000000000000232,stable_nature,100,100,3.5664277089457372,60.41313091254851,3.5664277089457372,100
stable,00000000000000000233,stable_nature,100,100,60.80012231397613,35.343068719116,35.343068719116,100
stable,00000000000000000234,stable_nature,100,100,9.656229227653364,47.30634147437926,9.656229227653364,100
stable,00000000000000000235,stable_crop,100,100,13.633374209065963,59.19333554829792,13.633374209065963,100
stable,00000000000000000237,stable_nature,100,100,11.00073071202609,60.54627984924589,11.00073071202609,100
stable,00000000000000000238,stable_nature,100,100,50.07199593321158,50.20100753499279,50.07199593321158,100
stable,00000000000000000239,stable_nature,100,100,57.81842518551799,61.78794364985832,57.81842518551799,100
stable,0000000000000000023b,stable_crop,100,100,32.83795229049552,58.32111001764007,32.83795229049552,100
stable,0000000000000000023c,stable_crop,100,100,35.42117265927014,60.81570563531784,35.42117265927014,100
stable,0000000000000000023d,stable_nature,100,100,10.052287466294324,63.11733955369519,10.052287466294324,100
stable,0000000000000000023e,stable_crop,100,100,53.6211469560331,46.920655471296065,46.920655471296065,100
stable,0000000000000000023f,stable_nature,100,100,24.662358641223086,56.17775167239576,24.662358641223086,100
stable,00000000000000000240,stable_nature,100,100,35.786592351413105,48.907090861403354,35.786592351413105,100
stable,00000000000000000241,stable_nature,100,100,7.985229206745838,57.720717369998,7.985229206745838,100
stable,00000000000000000242,stable_crop,100,100,31.10896520362176,60.99231262731986,31.10896520362176,100
stable,00000000000000000243,stable_nature,100,100,53.221811264486,45.72710417029943,45.72710417029943,100
stable,00000000000000000244,stable_crop,100,100,35.63198419560375,51.222063489034085,35.63198419560375,100
stable,00000000000000000245,stable_nature,100,100,53.59810347405459,51.25908000995426,51.25908000995426,100
stable,00000000000000000246,stable_nature,100,100,31.335566499710083,55.23063861753864,31.335566499710083,100
stable,00000000000000000247,stable_nature,100,100,43.661694753495965,52.94265923897072,43.661694753495965,100
stable,00000000000000000248,stable_crop,100,100,21.189373101869187,57.06803382398286,21.189373101869187,100
stable,00000000000000000249,stable_nature,100,100,57.668861483440914,29.04151594604662,29.04151594604662,100
stable,0000000000000000024a,stable_crop,100,100,37.102238643275626,53.313636976318634,37.102238643275626,100
stable,0000000000000000024b,stable_nature,100,100,40.93610974810118,62.736847750854515,40.93610974810118,100
stable,0000000000000000024d,stable_built,100,100,17.98259516634577,60.79343766547722,17.98259516634577,100
stable,0000000000000000024e,stable_nature,100,100,48.50471217501632,55.89404139551837,48.50471217501632,100
stable,0000000000000000024f,stable_nature,100,100,14.662183956419915,57.15089000937893,14.662183956419915,100
stable,00000000000000000250,stable_nature,100,100,62.22857635299144,52.98819082087894,52.98819082087894,100
stable,00000000000000000251,stable_built,100,100,44.470434052513944,33.862726661184965,33.862726661184965,100
stable,00000000000000000252,stable_crop,100,100,49.04627604180558,56.060034604280766,49.04627604180558,100
stable,00000000000000000253,stable_nature,100,100,57.67283171824801,47.028963154264844,47.028963154264844,100
stable,00000000000000000254,stable_crop,100,100,56.846846552195366,39.14170868621316,39.14170868621316,100
stable,00000000000000000255,stable_built,100,100,43.27715529290336,27.581800715369354,27.581800715369354,100
stable,00000000000000000256,stable_nature,100,100,56.27872972395422,48.00778325789508,48.00778325789508,100
stable,00000000000000000257,stable_crop,100,100,56.648434386986665,52.76614235295542,52.76614235295542,100
stable,00000000000000000258,stable_nature,100,100,45.58029067415261,34.985535928225914,34.985535928225914,100
stable,00000000000000000259,stable_built,100,100,2.8980266169127438,46.29619810037821,2.8980266169127438,100
stable,0000000000000000025a,stable_crop,100,100,47.51233533958258,51.58231942101925,47.51233533958258,100
stable,0000000000000000025b,stable_built,100,100,3.3725608362714543,63.42766022862281,3.3725608362714543,100
stable,0000000000000000025c,stable_crop,100,100,54.273777265366355,63.30800388613644,54.273777265366355,100
stable,0000000000000000025d,stable_crop,100,100,49.91169098897502,56.92454982680915,49.91169098897502,100
stable,0000000000000000025e,stable_crop,100,100,51.77081477926661,56.127611158628866,51.77081477926661,100
stable,0000000000000000025f,stable_nature,100,100,5.565305026081899,55.86760179370612,5.565305026081899,100
stable,00000000000000000260,stable_crop,100,100,32.4102335577654,50.06326654485805,32.4102335577654,100
stable,00000000000000000262,stable_nature,100,100,34.16115581197116,46.713392022817644,34.16115581197116,100
stable,00000000000000000263,stable_built,100,100,46.141692644442934,58.0667825502743,46.141692644442934,100
stable,00000000000000000264,stable_crop,100,100,40.20358097960228,49.62638958137228,40.20358097960228,100
stable,00000000000000000265,stable_nature,100,100,36.43684871585447,49.79654682101838,36.43684871585447,100
stable,00000000000000000266,stable_built,100,100,6.546846756581881,57.945402502800654,6.546846756581881,100
stable,00000000000000000267,stable_nature,100,100,51.46782749650668,63.01850599958803,51.46782749650668,100
stable,00000000000000000268,stable_nature,36,100,2.392416017851718,64.99360466426761,2.392416017851718,36
stable,00000000000000000269,stable_built,100,100,52.75741520761513,55.34026496130523,52.75741520761513,100
stable,0000000000000000026a,stable_nature,100,100,2.3579045737738498,63.59578136342137,2.3579045737738498,100
stable,0000000000000000026b,stable_crop,100,100,41.88562064554269,54.95601769569036,41.88562064554269,100
stable,0000000000000000026c,stable_crop,100,100,36.855178213134266,52.13136826358674,36.855178213134266,100
stable,0000000000000000026e,stable_nature,100,100,19.9816735112772,63.07022245651549,19.9816735112772,100
stable,0000000000000000026f,stable_crop,100,100,61.433506036239436,35.969636906840854,35.969636906840854,100
stable,00000000000000000270,stable_crop,100,100,20.74636348017737,56.19624582951629,20.74636348017737,100
stable,00000000000000000271,stable_nature,100,100,30.32415189593431,48.20001435708522,30.32415189593431,100
stable,00000000000000000273,stable_built,100,100,31.528733605473263,50.353771499175096,31.528733605473263,100
stable,00000000000000000274,stable_built,100,100,38.26126365432925,41.08049286057065,38.26126365432925,100
stable,00000000000000000275,stable_crop,100,100,52.12671982774744,30.465723897813547,30.465723897813547,100
stable,00000000000000000276,stable_crop,100,100,41.34552461664451,58.93062611348873,41.34552461664451,100
stable,00000000000000000279,stable_crop,100,100,56.7611920110575,43.86879542869842,43.86879542869842,100
stable,0000000000000000027a,stable_built,100,100,37.79802036668767,52.675261806733964,37.79802036668767,100
stable,0000000000000000027b,stable_built,100,100,54.306354798966986,48.725678243036405,48.725678243036405,100
stable,0000000000000000027c,stable_built,100,100,16.986107227310974,44.240535964637644,16.986107227310974,100
stable,0000000000000000027d,stable_nature,100,100,4.926325236922982,62.22567385207943,4.926325236922982,100
stable,0000000000000000027e,stable_nature,100,100,50.84960218842616,55.798188784035396,50.84960218842616,100
stable,00000000000000000280,stable_built,100,100,4.059359138452669,68.84735887879282,4.059359138452669,100
stable,00000000000000000282,stable_nature,100,100,58.949459283508325,37.86949398633096,37.86949398633096,100
