parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000610,stable_nature,500,98,100,0.014227163204629644,0.01296355053239313,0.4767638928972006
00000000000000000610,stable_nature,1000,94,99,0.014227163204629644,0.01296355053239313,0.4767638928972006
00000000000000000610,stable_nature,2000,68,93,0.01435022871498226,0.01296355053239313,0.47461577596092624
00000000000000000612,stable_crop,0,100,100,0.04764016033329303,0.0758085044459326,0.614089302471547
00000000000000000612,stable_crop,500,98,99,0.04764016033329303,0.0758085044459326,0.614089302471547
00000000000000000612,stable_crop,1000,92,92,0.050031661293672605,0.07682305108272547,0.6055987171700306
00000000000000000612,stable_crop,2000,77,70,0.05389138826453967,0.08191763538765093,0.6031825661072441
00000000000000000614,stable_nature,0,100,100,0.022376315728077235,0.03554538260713589,0.6136799097431268
00000000000000000614,stable_nature,500,98,98,0.031096826658411625,0.03554538260713589,0.5333764141126495
00000000000000000614,stable_nature,1000,94,91,0.03342008392645508,0.03592488239935358,0.5180604202768943
00000000000000000614,stable_nature,2000,71,66,0.03342008392645508,0.039978923787892764,0.5446793496573811
00000000000000000615,stable_crop,0,100,100,0.04662329121583277,0.025027239488413698,0.34929594019854376
00000000000000000615,stable_crop,500,99,99,0.04662329121583277,0.027394228743152848,0.3701046557350524
00000000000000000615,stable_crop,1000,93,89,0.04662329121583277,0.027394228743152848,0.3701046557350524
00000000000000000615,stable_crop,2000,73,47,0.06126561224663636,0.04819411843753492,0.4402908552383627
00000000000000000616,stable_crop,0,100,100,0.054563341792280354,0.02456684004280041,0.31046105888763087
00000000000000000616,stable_crop,500,96,100,0.054563341792280354,0.02456684004280041,0.31046105888763087
00000000000000000616,stable_crop,1000,86,96,0.054563341792280354,0.02456684004280041,0.31046105888763087
00000000000000000616,stable_crop,2000,60,69,0.06937623011427825,0.03311638527983529,0.3231099640902924
00000000000000000617,stable_crop,0,100,100,0.010007892715617861,0.006641146312675294,0.39889066876415674
00000000000000000617,stable_crop,500,99,99,0.010007892715617861,0.008964218842915983,0.4724945251764185
00000000000000000617,stable_crop,1000,99,92,0.010007892715617861,0.011138624833988642,0.5267356578846797
00000000000000000617,stable_crop,2000,86,65,0.012277782626709643,0.06807269457328738,0.8471971411321338
00000000000000000618,stable_nature,0,97,99,0.01194921829310267,0.019137062474263434,0.6156111957187757
00000000000000000618,stable_nature,500,95,99,0.0141501674131165,0.019137062474263434,0.5749070300663226
