parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
000000000000000000e9,crop_loss,500,198,156,0.5080212201035844
0000000000000000011b,crop_loss,500,196,190,0.4683241276751134
00000000000000000128,crop_loss,500,193,199,0.5824067703750933
0000000000000000016c,crop_loss,500,179,188,0.5170428655007289
00000000000000000192,crop_loss,500,200,193,0.485476525201472
00000000000000000196,crop_loss,500,193,200,0.4236871565387415
000000000000000001a6,crop_loss,500,200,190,0.31572749879971024
000000000000000001e4,crop_loss,500,196,200,0.5749906236110423
000000000000000001f9,crop_loss,500,190,198,0.5789145925339526
00000000000000000228,crop_loss,500,196,200,0.4918985913257153
00000000000000000281,crop_loss,500,199,198,0.5107881191983709
0000000000000000028c,crop_loss,500,194,198,0.5030904006326147
0000000000000000028d,crop_loss,500,194,200,0.698182344491889
00000000000000000291,crop_loss,500,195,200,0.7239459593760875
000000000000000002c5,crop_loss,500,196,186,0.4423879027126751
000000000000000002cc,crop_loss,500,195,188,0.410144441544873
000000000000000002dc,crop_loss,500,192,197,0.49262478443744595
000000000000000002e4,crop_loss,500,200,193,0.43192055477497854
000000000000000002ec,crop_loss,500,198,193,0.47612337568142465
00000000000000000314,crop_loss,500,199,183,0.3241873597130462
00000000000000000335,crop_loss,500,196,197,0.5022322487945676
0000000000000000033a,crop_loss,500,196,197,0.49907022736011886
000000000000000003a2,crop_loss,500,181,195,0.4281515917755393
000000000000000003b0,crop_loss,500,195,193,0.42557070846132644
000000000000000003c7,crop_loss,500,194,197,0.6343087053737483
000000000000000003c8,crop_loss,500,199,197,0.044771548692410026
000000000000000003f1,crop_loss,500,151,129,0.6067837935181449
000000000000000003f2,crop_loss,500,199,182,0.4840051458638881
0000000000000000044b,crop_loss,500,194,200,0.6442790080421592
0000000000000000046c,crop_loss,500,195,196,0.45812967954541967
00000000000000000480,crop_loss,500,196,199,0.9634651564561264
00000000000000000483,crop_loss,500,199,198,0.7411090930088751
00000000000000000485,crop_loss,500,185,195,0.5799609368554289
00000000000000000497,crop_loss,500,190,180,0.33541012686425326
0000000000000000049b,crop_loss,500,195,198,0.3930652852323755
000000000000000004a1,crop_loss,500,193,193,0.4160555931795584
000000000000000004e7,crop_loss,500,196,196,0.45562949600359515
000000000000000004e9,crop_loss,500,197,172,0.5497231657339192
000000000000000004ee,crop_loss,500,197,198,0.487518681468226
000000000000000004f9,crop_loss,500,192,188,0.47340681530896195
00000000000000000517,crop_loss,500,193,200,0.7076653860205022
0000000000000000057e,crop_loss,500,198,198,0.541944667711564
000000000000000005d1,crop_loss,500,198,175,0.42882370058413677
00000000000000000611,crop_loss,500,195,197,0.7651416076240218
0000000000000000062f,crop_loss,500,191,195,0.5255803620940213
00000000000000000632,crop_loss,500,178,131,0.21043388833252197
0000000000000000063e,crop_loss,500,199,197,0.4377030195395404
00000000000000000655,crop_loss,500,195,200,0.661693045317384
00000000000000000697,crop_loss,500,166,163,0.5773764436982162
00000000000000000698,crop_loss,500,192,196,0.4807619929843676
