parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
000000000000000000b5,stable_crop,4000,98,99,0.07090256077876227,0.060468258163560475,0.4602868327223283
0000000000000000038e,stable_nature,0,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,25,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,50,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,75,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,100,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,150,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,200,283,300,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,300,283,298,0.014835127879470522,0.009945007701419883,0.40132983407434636
0000000000000000038e,stable_nature,500,283,293,0.014835127879470522,0.010071898782890897,0.404379812934749
0000000000000000038e,stable_nature,1000,282,282,0.014835127879470522,0.010190703346540864,0.4072073872032521
0000000000000000038e,stable_nature,2000,250,218,0.014835127879470522,0.012092280131577437,0.44906959207388486
0000000000000000038e,stable_nature,3000,198,124,0.014835127879470522,0.018680245173039456,0.5573634863981657
0000000000000000038e,stable_nature,4000,100,100,0.016126373670296634,0.01926661375343739,0.5443624614737416
00000000000000000080,stable_nature,0,300,300,0.07454006903456385,0.08799702180439746,0.5413965596999755
00000000000000000080,stable_nature,25,300,300,0.07454006903456385,0.08799702180439746,0.5413965596999755
00000000000000000080,stable_nature,50,300,299,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,75,300,299,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,100,299,297,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,150,299,291,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,200,299,286,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,300,298,286,0.07454006903456385,0.08930626731210789,0.5450611182578141
00000000000000000080,stable_nature,500,294,277,0.07454006903456385,0.09015291997670291,0.5473998651514429
00000000000000000080,stable_nature,1000,268,213,0.07643781302019197,0.09015291997670291,0.5411640753020885
00000000000000000080,stable_nature,2000,177,100,0.08987288780321397,0.09231569243244848,0.5067040552845335
00000000000000000080,stable_nature,3000,100,100,0.09812860054629413,0.09231569243244848,0.48473856048953917
00000000000000000080,stable_nature,4000,100,100,0.09812860054629413,0.09231569243244848,0.48473856048953917
00000000000000000603,stable_crop,0,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,25,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,50,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,75,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,100,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,150,152,235,0.03584914967688506,0.012523037944087156,0.25888922043291646
00000000000000000603,stable_crop,200,152,234,0.03584914967688506,0.013644445801655558,0.2756810385152928
