PLOTID,parent_id,longitude,latitude,group,ghm_aa
a106-8184973583296_29-71441602907695,,106.81849735833092,29.714416029064985,stable_natural,0.7276548743247986
a-98-19064944988124_26-03504506285337,,-98.19064944988172,26.03504506284198,stable_natural,0.9894160032272339
a-76-41556456205092_-12-95396011960215,,-76.41556456204833,-12.9539601195978,artificial_reversion,0.22703763842582703
a11-16726776554045_59-95217911545592,,11.167267765553584,59.952179115413855,stable_natural,0.3949688673019409
a-63-15049450863154_-32-45097842235676,,-63.1504945086313,-32.450978422345415,stable_natural,0.8638241291046143
a34-0200934825325_-14-41551756687032,,34.0200934825318,-14.415517566865883,stable_artificial,0.9443092942237854
a-16-00808649934173_11-97423561084185,,-16.00808649934041,11.97423561083648,stable_natural,0.559617817401886
a99-0004371715654_54-89154976893142,,99.00043717157064,54.89154976889928,stable_natural,0.8178713917732239
a59-0974022906253_56-2320381728841,,59.09740229063543,56.23203817284926,stable_natural,0.40382781624794006
a98-57355137125958_39-70673589620246,,98.57355137126184,39.70673589618221,stable_natural,0.5856775045394897
a138-78187772742018_-32-97603739295466,,138.78187772741944,-32.976037392939745,stable_natural,0.39261317253112793
a101-29092189628798_6-74617951486151,,101.2909218962878,6.746179514857948,stable_artificial,0.6718047857284546
a120-5381980140722_30-10634614547419,,120.53819801407256,30.10634614546322,artificial_reversion,0.8996001482009888
a-1-09219168653244_17-97452219770485,,-1.0921916865328836,17.9745221976968,stable_natural,0.00289717223495245
a-160-66735609755438_66-33480994100229,,-160.66735609756108,66.33480994095777,stable_natural,0.005666014272719622
a99-3096371623454_3-3940553511875,,99.30963716234724,3.394055351188598,stable_natural,0.557644784450531
a44-55907783795776_32-9344769474567,,44.55907783795836,32.93447694744155,stable_natural,0.5316409468650818
a56-82779657170541_59-28808013653404,,56.8277965717168,59.28808013649572,stable_natural,0.9919931292533875
a119-36051438374992_-1-54625049371476,,119.36051438374994,-1.5462504937086972,stable_natural,0.5934727787971497
a105-5388962528316_23-03065628232758,,105.53889625283084,23.030656282322077,stable_natural,0.1078641340136528
a69-58691664292355_23-14366915431335,,69.58691664292387,23.143669154307474,stable_natural,0.36202070116996765
a-73-35847078379877_49-81365592268598,,-73.35847078379766,49.81365592266587,stable_natural,0.0025107036344707012
a104-39357219184573_52-33122716908935,,104.3935721918496,52.331227169061066,stable_artificial,0.5746497511863708
a33-11352837583199_20-37469669942073,,33.11352837583473,20.37469669940809,stable_natural,0.0035080534871667624
a114-90016837005138_30-64414201569037,,114.90016837005297,30.64414201568218,artificial_reversion,0.9422850608825684
a75-30645436459572_17-94274422645332,,75.3064543645965,17.942744226442247,stable_natural,0.4720989465713501
a-81-48933921565731_46-30601611246392,,-81.48933921565568,46.30601611244053,stable_natural,0.027831358835101128
a51-02535692635047_34-60233261252057,,51.02535692635166,34.60233261250914,stable_natural,0.60521399974823
a-16-83433628398021_28-37903912655523,,-16.834336283980363,28.37903912654162,stable_natural,0.33017876744270325
a30-51255074716678_60-15298799337435,,30.51255074717256,60.152987993339934,stable_natural,0.9468114972114563
a79-10421915589652_19-89721579724321,,79.10421915589492,19.89721579723429,stable_natural,0.46132543683052063
a9-58864082774969_0-8491803630634,,9.588640827750242,0.8491803630601225,stable_artificial,0.09872131794691086
a113-941795133385_35-26495646116667,,113.9417951333867,35.26495646115287,artificial_reversion,0.9215440154075623
a97-12431669681366_57-08924485952804,,97.12431669681976,57.089244859495054,artificial_reversion,0.24205929040908813
a140-82399147920788_-37-94317676356623,,140.82399147920813,-37.9431767635495,stable_natural,0.37712815403938293
a-4-16500934669922_42-14475351617171,,-4.165009346699513,42.1447535161559,stable_natural,0.41460633277893066
a52-1602283815936_57-25380561790437,,52.16022838160417,57.25380561787132,stable_natural,0.42865124344825745
a46-98659852852907_31-31555493001967,,46.9865985285296,31.315554930001014,stable_natural,0.2174951583147049
a9-97681161995986_44-12918380826343,,9.976811619961827,44.12918380824405,stable_natural,0.30159124732017517
a77-91831782646753_10-77674442018194,,77.91831782646928,10.776744420178296,stable_natural,0.46062731742858887
a-1-92733123475929_34-71331334518141,,-1.9273312347578528,34.71331334516846,stable_natural,0.9816444516181946
a-106-60473427756239_53-14541962478558,,-106.6047342775583,53.14541962475882,stable_natural,0.3862781226634979
a78-85502228157328_9-4936799546694,,78.8550222815735,9.493679954663955,stable_natural,0.41972196102142334
a-1-4857119717723_33-3058280435686,,-1.4857119717727243,33.30582804355614,stable_natural,0.003216576762497425
